Session_slope,Region,t_mid_s_slope,Exponent_median,Offset_median,t_key,t_mid_s_ent,Time_mid,Session_ent,Band,Entropy,n_ch,t_mid_s
PLANT_KINGDOM_INDOOR,frontal,10.0,1.1575567647042406,1.9111448942561187,2,10.0,2025-10-31 17:27:41.375829935,PLANT_KINGDOM_INDOOR,betal,0.98863838444631,11,10.0
PLANT_KINGDOM_INDOOR,frontal,15.0,1.212350851250963,2.0312053364963107,3,15.0,2025-10-31 17:27:46.375420094,PLANT_KINGDOM_INDOOR,betal,0.9881092516092274,11,15.0
PLANT_KINGDOM_INDOOR,frontal,20.0,1.291615813920372,2.1391500986312577,4,20.0,2025-10-31 17:27:51.374910116,PLANT_KINGDOM_INDOOR,betal,0.9884801168958384,11,20.0
PLANT_KINGDOM_INDOOR,frontal,25.0,1.3026404328007064,2.1681263188993847,5,25.0,2025-10-31 17:27:56.374510050,PLANT_KINGDOM_INDOOR,betal,0.987103739362308,11,25.0
PLANT_KINGDOM_INDOOR,frontal,30.0,1.2983979487989765,2.1537079209483125,6,30.0,2025-10-31 17:28:01.374200106,PLANT_KINGDOM_INDOOR,betal,0.990739069761781,11,30.0
PLANT_KINGDOM_INDOOR,frontal,35.0,1.2438303372999118,2.0583020497313793,7,35.0,2025-10-31 17:28:06.373800039,PLANT_KINGDOM_INDOOR,betal,0.9898530600908862,11,35.0
PLANT_KINGDOM_INDOOR,frontal,40.0,1.2919906264212577,2.1518791315793595,8,40.0,2025-10-31 17:28:11.373589993,PLANT_KINGDOM_INDOOR,betal,0.9840698637120356,11,40.0
PLANT_KINGDOM_INDOOR,frontal,45.0,1.20546821049309,1.994265053632948,9,45.0,2025-10-31 17:28:16.372889996,PLANT_KINGDOM_INDOOR,betal,0.9867172653136784,11,45.0
PLANT_KINGDOM_INDOOR,frontal,50.0,1.2624668309667173,2.0492876419195714,10,50.0,2025-10-31 17:28:21.372580051,PLANT_KINGDOM_INDOOR,betal,0.9902357892661988,11,50.0
PLANT_KINGDOM_INDOOR,frontal,55.0,1.2133778775886666,1.9951604679987704,11,55.0,2025-10-31 17:28:26.372279882,PLANT_KINGDOM_INDOOR,betal,0.9874118641413302,11,55.0
PLANT_KINGDOM_INDOOR,frontal,60.0,1.2400143487147048,2.022616484024055,12,60.0,2025-10-31 17:28:31.371870041,PLANT_KINGDOM_INDOOR,betal,0.9845784109182162,11,60.0
PLANT_KINGDOM_INDOOR,frontal,65.0,1.2154005045924663,2.018987912932322,13,65.0,2025-10-31 17:28:36.371570110,PLANT_KINGDOM_INDOOR,betal,0.9885739011976106,11,65.0
PLANT_KINGDOM_INDOOR,frontal,70.0,1.3250978511750398,2.128648450384535,14,70.0,2025-10-31 17:28:41.371360064,PLANT_KINGDOM_INDOOR,betal,0.9914046358554384,11,70.0
PLANT_KINGDOM_INDOOR,frontal,75.0,1.249384462049742,1.9883471304327203,15,75.0,2025-10-31 17:28:46.370759964,PLANT_KINGDOM_INDOOR,betal,0.9900351268676932,11,75.0
PLANT_KINGDOM_INDOOR,frontal,80.0,1.2613034923954483,1.994550154322264,16,80.0,2025-10-31 17:28:51.370249987,PLANT_KINGDOM_INDOOR,betal,0.9888634398943028,11,80.0
PLANT_KINGDOM_INDOOR,frontal,85.0,1.2492986372169126,2.0385218121487516,17,85.0,2025-10-31 17:28:56.369950056,PLANT_KINGDOM_INDOOR,betal,0.9876713290474758,11,85.0
PLANT_KINGDOM_INDOOR,frontal,90.0,1.2600658586965343,1.9682295003052908,18,90.0,2025-10-31 17:29:01.369539976,PLANT_KINGDOM_INDOOR,betal,0.98895367935792,11,90.0
PLANT_KINGDOM_INDOOR,frontal,95.0,1.2609580028199727,2.0492080426010175,19,95.0,2025-10-31 17:29:06.368940115,PLANT_KINGDOM_INDOOR,betal,0.9916892536083644,11,95.0
PLANT_KINGDOM_INDOOR,frontal,100.0,1.2689371055910157,1.959960779628741,20,100.0,2025-10-31 17:29:11.368829966,PLANT_KINGDOM_INDOOR,betal,0.9905194539939336,11,100.0
PLANT_KINGDOM_INDOOR,frontal,105.0,1.291817352363821,2.0744860381201438,21,105.0,2025-10-31 17:29:16.368330002,PLANT_KINGDOM_INDOOR,betal,0.9874904360840508,11,105.0
PLANT_KINGDOM_INDOOR,frontal,110.0,1.2268014849690965,2.036147685588024,22,110.0,2025-10-31 17:29:21.367919922,PLANT_KINGDOM_INDOOR,betal,0.9854600638338354,11,110.0
PLANT_KINGDOM_INDOOR,frontal,115.0,1.2090740863753031,2.010316357627207,23,115.0,2025-10-31 17:29:26.367520094,PLANT_KINGDOM_INDOOR,betal,0.9821754105537588,11,115.0
PLANT_KINGDOM_INDOOR,frontal,120.0,1.241552814240555,2.036956114781835,24,120.0,2025-10-31 17:29:31.367209911,PLANT_KINGDOM_INDOOR,betal,0.982895842694516,11,120.0
PLANT_KINGDOM_INDOOR,frontal,125.0,1.2672213573540962,2.055047184833628,25,125.0,2025-10-31 17:29:36.366810083,PLANT_KINGDOM_INDOOR,betal,0.9896660206692348,11,125.0
PLANT_KINGDOM_INDOOR,frontal,130.0,1.234986229766801,2.017071584111077,26,130.0,2025-10-31 17:29:41.366400003,PLANT_KINGDOM_INDOOR,betal,0.9903830830517226,11,130.0
